,ds,Valor
883,2022-10-02,424.65246
884,2022-10-03,426.410753
885,2022-10-04,433.681452
886,2022-10-05,429.790223
887,2022-10-06,427.333748
888,2022-10-07,424.761758
889,2022-10-08,424.999152
890,2022-10-09,426.957164
891,2022-10-10,427.619133
892,2022-10-11,428.536326
893,2022-10-12,426.563468
894,2022-10-13,431.085729
895,2022-10-14,428.448831
896,2022-10-15,428.398233
897,2022-10-16,430.580903
898,2022-10-17,436.253788
899,2022-10-18,441.647452
900,2022-10-19,437.479561
901,2022-10-20,439.711945
902,2022-10-21,445.958859
903,2022-10-22,445.992513
904,2022-10-23,445.498185
905,2022-10-24,449.968228
906,2022-10-25,472.775636
907,2022-10-26,483.873223
908,2022-10-27,479.227462
909,2022-10-28,480.864507
910,2022-10-29,480.56894
911,2022-10-30,480.307819
912,2022-10-31,479.107434
913,2022-11-01,481.731534
914,2022-11-02,478.905268
915,2022-11-03,475.856853
916,2022-11-04,486.948994
917,2022-11-05,487.147302
918,2022-11-06,484.516662
919,2022-11-07,488.927755
920,2022-11-08,490.660189
921,2022-11-09,488.978426
922,2022-11-10,503.51142
923,2022-11-11,511.596846
924,2022-11-12,511.191918
925,2022-11-13,509.49809
926,2022-11-14,512.756494
927,2022-11-15,518.96832
928,2022-11-16,526.533349
929,2022-11-17,524.45865
930,2022-11-18,528.675264
931,2022-11-19,528.679483
932,2022-11-20,527.377374
933,2022-11-21,521.336538
934,2022-11-22,523.110262
935,2022-11-23,530.780915
936,2022-11-24,532.190484
937,2022-11-25,532.759867
938,2022-11-26,532.921397
939,2022-11-27,530.882247
940,2022-11-28,524.12149
941,2022-11-29,523.242696
942,2022-11-30,527.036984
943,2022-12-01,532.633077
944,2022-12-02,533.419497
945,2022-12-03,533.296807
946,2022-12-04,533.169963
947,2022-12-05,530.054764
948,2022-12-06,528.280665
949,2022-12-07,529.990187
950,2022-12-08,532.429234
951,2022-12-09,531.613991
952,2022-12-10,531.092265
953,2022-12-11,530.806416
954,2022-12-12,531.415577
955,2022-12-13,536.771698
956,2022-12-14,538.854036
957,2022-12-15,536.017339
958,2022-12-16,534.453744
959,2022-12-17,534.04812
960,2022-12-18,533.836602
961,2022-12-19,534.549074
962,2022-12-20,535.305676
963,2022-12-21,534.397812
964,2022-12-22,533.605546
965,2022-12-23,537.081216
966,2022-12-24,537.033502
967,2022-12-25,534.382415
968,2022-12-26,535.587367
969,2022-12-27,536.075502
970,2022-12-28,534.393864
971,2022-12-29,536.873064
972,2022-12-30,539.663971
973,2022-12-31,540.147742
974,2023-01-01,538.196086
975,2023-01-02,537.121123
976,2023-01-03,530.993304
977,2023-01-04,534.26034
978,2023-01-05,529.55229
979,2023-01-06,536.925637
980,2023-01-07,536.855965
981,2023-01-08,535.909402
982,2023-01-09,540.490005
983,2023-01-10,540.435214
984,2023-01-11,541.920681
985,2023-01-12,546.275632
986,2023-01-13,546.035418
987,2023-01-14,545.979469
988,2023-01-15,545.339069
989,2023-01-16,544.952089
990,2023-01-17,543.172581
991,2023-01-18,542.950773
992,2023-01-19,545.197241
993,2023-01-20,546.347253
994,2023-01-21,547.483936
995,2023-01-22,546.981514
996,2023-01-23,546.809879
